,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,distance_from_metro(meters),log_price,bathroom_is_private,a few days or more,within a day,within a few hours,within an hour,Entire home/apt,Hotel room,Private room,Shared room,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,ΑΚΡΟΠΟΛΗ,ΑΜΠΕΛΟΚΗΠΟΙ,ΑΝΩ ΚΥΨΕΛΗ,ΑΝΩ ΠΑΤΗΣΙΑ,ΒΟΤΑΝΙΚΟΣ,ΓΚΑΖΙ,ΓΚΥΖΗ,ΓΟΥΒΑ,ΓΟΥΔΙ,ΕΛΛΗΝΟΡΩΣΩΝ,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,ΖΑΠΠΕΙΟ,ΘΗΣΕΙΟ,ΙΛΙΣΙΑ,ΚΕΡΑΜΕΙΚΟΣ,ΚΟΛΟΚΥΝΘΟΥ,ΚΟΛΩΝΑΚΙ,ΚΟΛΩΝΟΣ,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,ΚΥΨΕΛΗ,ΛΥΚΑΒΗΤΤΟΣ,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,ΝΕΑ ΚΥΨΕΛΗ,ΝΕΟΣ ΚΟΣΜΟΣ,ΝΙΡΒΑΝΑ,ΠΑΓΚΡΑΤΙ,ΠΑΤΗΣΙΑ,ΠΕΔΙΟ ΑΡΕΩΣ,ΠΕΝΤΑΓΩΝΟ,ΠΕΤΡΑΛΩΝΑ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,ΠΟΛΥΓΩΝΟ,ΠΡΟΜΠΟΝΑ,ΡΗΓΙΛΛΗΣ,ΡΙΖΟΥΠΟΛΗ,ΣΕΠΟΛΙΑ,ΣΤΑΔΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
1607,100.0,100.0,0,4.0,1,37.9628,23.72209,6,1.5,2.0,2.0,19.6517094017094,49.0,2,1125,1,90,23,93.0,10.0,9.0,10.0,10.0,10.0,9.0,1,2,2,0,0,0.64,233.7106884797247,3.8918202981106265,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,100.0,100.0,0,4.0,1,37.96292,23.71944,6,2.0,2.0,2.0,20.77059052059052,52.0,2,1125,1,89,68,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2,2,0,0,1.89,161.67284799447643,3.9512437185814275,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,100.0,95.0,1,53.0,1,37.96952,23.73104,4,1.0,1.0,1.0,22.395881895881892,47.0,1,1125,1,0,100,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,50,50,0,0,2.62,768.7607027938683,3.8501476017100584,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,100.0,100.0,1,3.0,1,37.99297,23.73163,2,1.0,1.0,1.0,19.33818958818959,25.0,2,1125,1,0,96,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,2,0,0,2.63,64.33565543307304,3.2188758248682006,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1611,100.0,100.0,1,1.0,1,38.00072,23.73826,4,1.0,2.0,4.0,20.932983682983686,21.0,1,1125,1,53,230,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,1,0,0,6.07,604.7714869250333,3.044522437723423,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,100.0,100.0,1,9.0,1,37.98124,23.72459,10,1.0,3.0,3.0,21.626456876456874,40.0,1,365,1,39,5,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1,8,8,0,0,0.15,246.49838534116677,3.6888794541139363,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,100.0,99.0,1,1.0,1,37.9765,23.70856,4,1.5,1.0,1.0,18.13927738927739,63.0,1,1125,1,81,222,99.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,1,0,0,5.97,1309.0211983598945,4.143134726391533,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,100.0,100.0,1,1.0,0,37.99048,23.76152,6,1.0,2.0,5.0,17.36363636363636,49.0,1,1125,1,90,7,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,1,0,0,0.19,1312.0239177936012,3.8918202981106265,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,100.0,100.0,1,2.0,1,37.98037,23.7581,2,1.0,1.0,1.0,18.46484071484071,35.0,1,1125,1,87,292,99.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,1,0,0,7.64,371.65966781806594,3.5553480614894135,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,100.0,94.0,1,3.0,1,37.96969,23.74425,6,1.0,2.0,3.0,10.56740481740482,42.0,2,90,1,53,122,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,6,6,0,0,3.35,407.8123717364411,3.7376696182833684,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,100.0,94.0,1,3.0,1,37.97234,23.74829,6,2.0,2.0,3.0,10.655982905982908,48.0,2,90,1,67,105,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,6,6,0,0,3.16,422.4822664870068,3.871201010907891,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1618,100.0,100.0,0,2.0,1,37.98032,23.73733,4,2.0,1.0,1.0,20.080613830613828,46.0,2,1125,1,3,154,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2,2,0,0,4.15,560.6284577072885,3.828641396489095,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,100.0,100.0,0,1.0,0,37.98919,23.73708,2,1.0,1.0,1.0,19.957653457653453,45.0,2,1125,1,90,94,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,1,0,0,2.49,231.9008477737537,3.8066624897703196,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620,100.0,100.0,1,2.0,0,37.99329,23.76393,4,1.0,1.0,4.0,20.0982905982906,50.0,2,1125,1,0,39,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,1,0,0,1.04,1688.4821382299995,3.912023005428146,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621,100.0,75.0,0,17.0,0,37.9595,23.724220000000006,2,1.0,1.0,1.0,19.103729603729608,37.0,1,180,1,89,2,90.0,10.0,10.0,10.0,10.0,8.0,8.0,1,8,8,0,0,0.05,255.228522495163,3.6109179126442243,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622,100.0,100.0,1,1.0,0,37.98394,23.73633,3,1.0,1.0,1.0,14.703962703962706,38.0,3,1125,1,30,36,99.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1,1,0,0,1.1,363.285812947744,3.6375861597263857,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
