host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,bathroom_is_private,Entire home/apt,Hotel room,Private room,Shared room,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,ΑΚΡΟΠΟΛΗ,ΑΜΠΕΛΟΚΗΠΟΙ,ΑΝΩ ΚΥΨΕΛΗ,ΑΝΩ ΠΑΤΗΣΙΑ,ΒΟΤΑΝΙΚΟΣ,ΓΚΑΖΙ,ΓΚΥΖΗ,ΓΟΥΒΑ,ΓΟΥΔΙ,ΕΛΛΗΝΟΡΩΣΩΝ,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,ΖΑΠΠΕΙΟ,ΘΗΣΕΙΟ,ΙΛΙΣΙΑ,ΚΕΡΑΜΕΙΚΟΣ,ΚΟΛΟΚΥΝΘΟΥ,ΚΟΛΩΝΑΚΙ,ΚΟΛΩΝΟΣ,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,ΚΥΨΕΛΗ,ΛΥΚΑΒΗΤΤΟΣ,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,ΝΕΑ ΚΥΨΕΛΗ,ΝΕΟΣ ΚΟΣΜΟΣ,ΝΙΡΒΑΝΑ,ΠΑΓΚΡΑΤΙ,ΠΑΤΗΣΙΑ,ΠΕΔΙΟ ΑΡΕΩΣ,ΠΕΝΤΑΓΩΝΟ,ΠΕΤΡΑΛΩΝΑ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,ΠΟΛΥΓΩΝΟ,ΠΡΟΜΠΟΝΑ,ΡΗΓΙΛΛΗΣ,ΡΙΖΟΥΠΟΛΗ,ΣΕΠΟΛΙΑ,ΣΤΑΔΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,a few days or more,within a day,within a few hours,within an hour
100.0,91.0,0,9.0,9.0,1,1,8,1.0,3.0,8.0,41.0,2,730,2.0,2.0,730.0,730.0,2.0,730.0,1,0,0,0,0,57,1,0,92.0,9.0,9.0,9.0,9.0,9.0,9.0,1,9,9,0,0,0.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100.0,100.0,0,2.0,2.0,1,1,4,1.0,2.0,1.0,80.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,1,30,60,90,365,33,0,0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,1,0,0,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,100.0,1,3.0,3.0,1,1,2,1.0,1.0,1.0,200.0,2,1125,1.0,2.0,1125.0,1125.0,1.9,1125.0,1,26,56,86,290,439,18,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,2,0,0,4.32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0,24.0,24.0,1,1,2,1.0,1.0,1.0,58.0,4,720,4.0,4.0,720.0,720.0,4.0,720.0,1,0,1,1,54,2,0,0,90.0,9.0,9.0,10.0,10.0,9.0,9.0,1,15,15,0,0,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50.0,100.0,1,5.0,5.0,1,1,8,1.0,2.0,4.0,49.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,0,0,0,0,195,0,0,93.0,9.0,10.0,10.0,10.0,10.0,9.0,0,5,5,0,0,1.82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,100.0,1,4.0,4.0,1,1,3,1.0,1.0,1.0,50.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,1,30,51,72,347,431,4,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,1,0,0,4.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95.0,94.0,0,4.0,4.0,1,1,5,1.0,1.0,2.0,29.0,4,1125,1.0,4.0,1125.0,1125.0,1.4,1125.0,1,30,60,90,365,326,5,1,87.0,9.0,8.0,9.0,9.0,9.0,9.0,0,2,2,0,0,3.08,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,100.0,0,1.0,1.0,1,1,5,1.0,2.0,2.0,75.0,7,120,7.0,7.0,1125.0,1125.0,7.0,1125.0,1,30,60,90,90,64,0,0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,1,0,0,0.62,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,91.0,0,9.0,9.0,1,1,8,2.0,3.0,4.0,1741.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,1,0,0,0,0,56,0,0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1,9,9,0,0,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,100.0,0,15.0,15.0,1,1,4,1.0,1.0,2.0,76.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,28,50,80,339,60,2,0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,13,13,0,0,0.56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,100.0,0,15.0,15.0,1,1,4,1.0,1.0,2.0,45.0,1000,1125,2.0,1000.0,1125.0,1125.0,137.5,1125.0,1,30,60,88,338,16,1,0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,1,13,13,0,0,0.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50.0,100.0,1,5.0,5.0,1,1,4,1.0,1.0,2.0,50.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,1,0,0,0,0,247,0,0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,5,5,0,0,2.41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,50.0,1,1.0,1.0,1,1,4,1.0,1.0,2.0,23.0,5,120,5.0,5.0,120.0,120.0,5.0,120.0,1,20,50,80,355,51,1,0,98.0,10.0,9.0,10.0,10.0,9.0,10.0,0,1,1,0,0,0.48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89.0,100.0,0,3.0,3.0,1,1,5,1.0,2.0,3.0,125.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,1,30,54,83,322,233,6,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,2,2,0,0,2.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40.0,86.0,0,3.0,3.0,1,0,3,1.0,1.0,2.0,35.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,1,29,59,89,270,22,1,0,93.0,9.0,9.0,10.0,10.0,10.0,10.0,0,1,1,0,0,0.22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
100.0,96.0,1,67.0,67.0,1,1,4,1.0,1.0,1.0,32.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,30,60,86,354,6,1,0,90.0,9.0,10.0,10.0,9.0,9.0,8.0,0,42,42,0,0,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,96.0,1,67.0,67.0,1,1,8,2.0,2.0,2.0,72.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,30,60,90,365,8,0,0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,0,42,42,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89.0,100.0,0,3.0,3.0,1,1,3,1.0,1.0,1.0,80.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,1,30,60,90,365,15,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,2,0,0,0.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,100.0,0,4.0,4.0,1,0,4,1.0,2.0,2.0,30.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,1,1,31,61,336,97,3,0,91.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,1,0,0,0.95,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,96.0,1,67.0,67.0,1,1,16,5.5,5.0,5.0,176.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,30,60,82,348,22,1,0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0,42,42,0,0,0.22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
